county_fips,total_schools,total_students,cep_school_rate,cep_student_rate,weighted_isp
17001,16.0,7464.0,0.0625,0.07087352625937834,0.4564688906752412
17003,5.0,662.0,1.0,1.0,0.7598333836858006
17005,8.0,1875.0,0.0,0.0,0.4272020800000001
17007,17.0,8991.0,0.6470588235294118,0.8360582805027249,0.4984963630296964
17009,3.0,673.0,1.0,1.0,0.39523566121842496
17011,19.0,4077.0,0.3157894736842105,0.25803286730439046,0.42310470934510674
17013,3.0,590.0,0.0,0.0,0.29998457627118646
17015,7.0,1740.0,0.14285714285714285,0.19597701149425287,0.42357683908045973
17017,6.0,1826.0,0.6666666666666666,0.8838992332968236,0.5186363088718511
17019,40.0,17857.0,0.85,0.9212633701069609,0.5771050680405443
17021,15.0,4275.0,1.0,1.0,0.5150310175438596
17023,8.0,2284.0,0.5,0.4934325744308231,0.38528734676007004
17025,8.0,2085.0,1.0,1.0,0.47384043165467626
17027,12.0,3122.0,0.16666666666666666,0.10474055092889173,0.3930168802049968
17029,18.0,5928.0,1.0,1.0,0.5530505735492578
17031,1168.0,543616.0,0.8792808219178082,0.8732174917588886,0.6300109983885686
17033,10.0,2511.0,0.3,0.1294305057745918,0.40819127837514935
17035,5.0,1402.0,1.0,1.0,0.40136961483594863
17037,29.0,11673.0,0.4827586206896552,0.5976184357063309,0.4492281675661782
17039,8.0,2426.0,0.0,0.0,0.35488623248145096
17041,6.0,1532.0,0.0,0.0,0.503268407310705
17043,104.0,48309.0,0.4807692307692308,0.39483326088306525,0.44108852387753833
17045,14.0,2691.0,0.6428571428571429,0.7621701969528056,0.49461185432924565
17047,2.0,583.0,0.0,0.0,0.3841727272727272
17049,10.0,3285.0,0.8,0.891324200913242,0.4456701674277017
17051,11.0,2635.0,1.0,1.0,0.5238261480075901
17053,6.0,2145.0,0.16666666666666666,0.2601398601398601,0.3655281585081585
17055,19.0,5358.0,0.7368421052631579,0.7486002239641657,0.5543247853676746
17057,19.0,3952.0,0.8421052631578947,0.9461032388663968,0.47216229757085015
17059,3.0,688.0,1.0,1.0,0.5945000000000001
17061,6.0,1799.0,1.0,1.0,0.5297543635352974
17063,14.0,4241.0,0.0,0.0,0.36571315727422776
17065,4.0,1087.0,0.0,0.0,0.3882360625574977
17067,12.0,2701.0,0.3333333333333333,0.29951869677897075,0.4161276564235469
17069,3.0,533.0,1.0,1.0,0.6098000000000001
17071,4.0,748.0,0.0,0.0,0.3649572192513369
17073,19.0,4657.0,0.5789473684210527,0.62572471548207,0.5312417650848186
17075,19.0,3193.0,0.47368421052631576,0.3755089257751331,0.4854275602881302
17077,22.0,6676.0,0.9090909090909091,0.8118633912522468,0.6094814110245658
17079,3.0,728.0,0.0,0.0,0.3433960164835165
17081,24.0,5329.0,0.8333333333333334,0.811033965096641,0.5464405516982549
17083,5.0,2206.0,0.0,0.0,0.36261509519492297
17085,6.0,853.0,0.16666666666666666,0.03399765533411489,0.35755638921453703
17087,7.0,1698.0,0.5714285714285714,0.4334511189634865,0.3769160188457008
17089,140.0,70651.0,0.9428571428571428,0.9511118030884206,0.5555995881162334
17091,35.0,15051.0,0.6,0.5258786791575311,0.5492174473456913
17093,17.0,11520.0,0.29411764705882354,0.21371527777777777,0.3532171267361111
17095,18.0,6311.0,0.7222222222222222,0.8315639359847885,0.5443046585327206
17097,103.0,52283.0,0.5922330097087378,0.6265133982365205,0.5472375915689613
17099,38.0,12173.0,0.5263157894736842,0.60897067280046,0.49824833648237893
17101,6.0,1848.0,0.0,0.0,0.4583633116883117
17103,13.0,3534.0,0.23076923076923078,0.18421052631578946,0.46661112054329373
17105,25.0,5561.0,0.64,0.5508002157885272,0.43623968710663547
17107,12.0,2897.0,0.5833333333333334,0.49154297549188813,0.4918956851915775
17109,33.0,12734.0,0.6666666666666666,0.7218470237160358,0.6148673943772578
17111,23.0,6090.0,0.6086956521739131,0.5821018062397373,0.4592721510673234
